URL Path,Resolved Canonical,Self-Canonicalizing,Canonical Host,Foreign Domain,Status
"/tool/grayscale","https://www.sarkaripixels.online/tool/grayscale","Yes","www.sarkaripixels.online","No",200 OK
"/tool/increase-kb","https://www.sarkaripixels.online/tool/increase-kb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/increase-quality","https://www.sarkaripixels.online/tool/increase-quality","Yes","www.sarkaripixels.online","No",200 OK
"/tool/join-images","https://www.sarkaripixels.online/tool/join-images","Yes","www.sarkaripixels.online","No",200 OK
"/tool/jpg-to-kb","https://www.sarkaripixels.online/tool/jpg-to-kb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/merge-photo-sig","https://www.sarkaripixels.online/tool/merge-photo-sig","Yes","www.sarkaripixels.online","No",200 OK
"/tool/motion-blur","https://www.sarkaripixels.online/tool/motion-blur","Yes","www.sarkaripixels.online","No",200 OK
"/tool/pan-card-resize","https://www.sarkaripixels.online/tool/pan-card-resize","Yes","www.sarkaripixels.online","No",200 OK
"/tool/pass-photo-sizes","https://www.sarkaripixels.online/tool/pass-photo-sizes","Yes","www.sarkaripixels.online","No",200 OK
"/tool/passport-maker","https://www.sarkaripixels.online/tool/passport-maker","Yes","www.sarkaripixels.online","No",200 OK
"/tool/photo-enhancer","https://www.sarkaripixels.online/tool/photo-enhancer","Yes","www.sarkaripixels.online","No",200 OK
"/tool/pixel-art","https://www.sarkaripixels.online/tool/pixel-art","Yes","www.sarkaripixels.online","No",200 OK
"/tool/pixelate-face","https://www.sarkaripixels.online/tool/pixelate-face","Yes","www.sarkaripixels.online","No",200 OK
"/tool/pixelate","https://www.sarkaripixels.online/tool/pixelate","Yes","www.sarkaripixels.online","No",200 OK
"/tool/psc-photo","https://www.sarkaripixels.online/tool/psc-photo","Yes","www.sarkaripixels.online","No",200 OK
"/tool/reduce-kb-general","https://www.sarkaripixels.online/tool/reduce-kb-general","Yes","www.sarkaripixels.online","No",200 OK
"/tool/reduce-kb","https://www.sarkaripixels.online/tool/reduce-kb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/reduce-mb","https://www.sarkaripixels.online/tool/reduce-mb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/remove-bg","https://www.sarkaripixels.online/tool/remove-bg","Yes","www.sarkaripixels.online","No",200 OK
"/tool/remove-metadata","https://www.sarkaripixels.online/tool/remove-metadata","Yes","www.sarkaripixels.online","No",200 OK
"/tool/remove-object","https://www.sarkaripixels.online/tool/remove-object","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-2-2","https://www.sarkaripixels.online/tool/resize-2-2","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-3-4","https://www.sarkaripixels.online/tool/resize-3-4","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-35-45-mm","https://www.sarkaripixels.online/tool/resize-35-45-mm","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-35-45","https://www.sarkaripixels.online/tool/resize-35-45","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-4-6","https://www.sarkaripixels.online/tool/resize-4-6","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-50-20","https://www.sarkaripixels.online/tool/resize-50-20","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-600-600","https://www.sarkaripixels.online/tool/resize-600-600","Yes","www.sarkaripixels.online","No",200 OK
